seq	source	feature	start	end	score	strand	phase	att	geneid
Mt	ena	gene	442	5442	.	+	.	ID=gene:EPlHVUG00000039890;Name=nad3_1;biotype=protein_coding;description=NADH dehydrogenase subunit 3;gene_id=EPlHVUG00000039890;logic_name=ena	EPlHVUG00000039890;Name=nad3_1
Mt	ena	gene	8645	13645	.	+	.	ID=gene:EPlHVUG00000039869;biotype=protein_coding;description=ribosomal protein small subunit 7;gene_id=EPlHVUG00000039869;logic_name=ena	EPlHVUG00000039869
Mt	ena	gene	33739	38739	.	+	.	ID=gene:EPlHVUG00000039881;Name=rps13;biotype=protein_coding;description=ribosomal protein small subunit 13;gene_id=EPlHVUG00000039881;logic_name=ena	EPlHVUG00000039881;Name=rps13
Mt	ena	gene	51126	56126	.	+	.	ID=gene:EPlHVUG00000039856;Name=cox1;biotype=protein_coding;description=cytochrome c oxidase subunit 1;gene_id=EPlHVUG00000039856;logic_name=ena	EPlHVUG00000039856;Name=cox1
Mt	ena	gene	102928	107928	.	+	.	ID=gene:EPlHVUG00000039852;Name=atp6;biotype=protein_coding;description=ATP synthase subunit 6;gene_id=EPlHVUG00000039852;logic_name=ena	EPlHVUG00000039852;Name=atp6
Mt	ena	gene	124030	129030	.	+	.	ID=gene:EPlHVUG00000039865;Name=ccmC_1;biotype=protein_coding;description=cytochrome c biogenesis protein ccmC;gene_id=EPlHVUG00000039865;logic_name=ena	EPlHVUG00000039865;Name=ccmC_1
Mt	ena	gene	139246	144246	.	+	.	ID=gene:EPlHVUG00000039878;Name=rpl5_1;biotype=protein_coding;description=ribosomal protein large subunit 5;gene_id=EPlHVUG00000039878;logic_name=ena	EPlHVUG00000039878;Name=rpl5_1
Mt	ena	gene	142269	147269	.	+	.	ID=gene:EPlHVUG00000039882;Name=rps2_1;biotype=protein_coding;description=ribosomal protein small subunit 2;gene_id=EPlHVUG00000039882;logic_name=ena	EPlHVUG00000039882;Name=rps2_1
Mt	ena	gene	154877	159877	.	+	.	ID=gene:EPlHVUG00000039870;Name=nad3_2;biotype=protein_coding;description=NADH dehydrogenase subunit 3;gene_id=EPlHVUG00000039870;logic_name=ena	EPlHVUG00000039870;Name=nad3_2
Mt	ena	gene	155299	160299	.	+	.	ID=gene:EPlHVUG00000039891;Name=rps12;biotype=protein_coding;description=ribosomal protein small subunit 12;gene_id=EPlHVUG00000039891;logic_name=ena	EPlHVUG00000039891;Name=rps12
Mt	ena	gene	199830	204830	.	+	.	ID=gene:EPlHVUG00000039875;biotype=protein_coding;description=ribosomal protein small subunit 3;gene_id=EPlHVUG00000039875;logic_name=ena	EPlHVUG00000039875
Mt	ena	gene	200236	205236	.	+	.	ID=gene:EPlHVUG00000039888;biotype=protein_coding;description=ribosomal protein large subunit 16;gene_id=EPlHVUG00000039888;logic_name=ena	EPlHVUG00000039888
Mt	ena	gene	204088	209088	.	+	.	ID=gene:EPlHVUG00000039883;biotype=protein_coding;description=ribosomal protein small subunit 4;gene_id=EPlHVUG00000039883;logic_name=ena	EPlHVUG00000039883
Mt	ena	gene	215185	220185	.	+	.	ID=gene:EPlHVUG00000039863;Name=cox3;biotype=protein_coding;description=cytochrome c oxidase subunit 3;gene_id=EPlHVUG00000039863;logic_name=ena	EPlHVUG00000039863;Name=cox3
