region	chr	midPos	Nsites
(99,598)(100,599)(100,600)	Mt	350	501	0.085945
(199,698)(200,699)(200,700)	Mt	450	501	0.078065
(299,798)(300,799)(300,800)	Mt	550	501	0.085098
(399,898)(400,899)(400,900)	Mt	650	501	0.086546
(499,998)(500,999)(500,1000)	Mt	750	501	0.079064
(599,1090)(600,1099)(600,1100)	Mt	850	493	0.085034
(699,1190)(700,1199)(700,1200)	Mt	950	493	0.092027
(799,1287)(800,1296)(800,1300)	Mt	1050	490	0.096476
(899,1287)(900,1296)(900,1400)	Mt	1150	390	0.096183
(999,1287)(1000,1296)(1000,1500)	Mt	1250	290	0.104236
(1091,1287)(1100,1296)(1100,1600)	Mt	1350	198	0.108103
(1191,1287)(1200,1296)(1200,1700)	Mt	1450	98	0.123484
(1288,1367)(9120,9199)(8700,9200)	Mt	8950	81	0.109574
(1288,1467)(9120,9299)(8800,9300)	Mt	9050	181	0.076757
(1288,1567)(9120,9399)(8900,9400)	Mt	9150	281	0.069414
(1288,1667)(9120,9499)(9000,9500)	Mt	9250	381	0.073373
(1288,1767)(9120,9599)(9100,9600)	Mt	9350	481	0.082799
(1368,1867)(9200,9699)(9200,9700)	Mt	9450	501	0.080615
(1468,1901)(9300,9733)(9300,9800)	Mt	9550	435	0.089200
(1568,1976)(9400,9899)(9400,9900)	Mt	9650	410	0.095481
(1668,2076)(9500,9999)(9500,10000)	Mt	9750	410	0.096572
(1768,2176)(9600,10099)(9600,10100)	Mt	9850	410	0.095559
(1868,2276)(9700,10199)(9700,10200)	Mt	9950	410	0.089766
(1902,2376)(9825,10299)(9800,10300)	Mt	10050	476	0.077920
(1977,2413)(9900,10336)(9900,10400)	Mt	10150	438	0.078066
(2077,2425)(10000,10499)(10000,10500)	Mt	10250	350	0.074442
(2177,2525)(10100,10599)(10100,10600)	Mt	10350	350	0.070255
(2277,2625)(10200,10699)(10200,10700)	Mt	10450	350	0.087640
(2377,2725)(10300,10799)(10300,10800)	Mt	10550	350	0.102776
(2414,2825)(10488,10899)(10400,10900)	Mt	10650	413	0.096615
(2426,2925)(10500,10999)(10500,11000)	Mt	10750	501	0.098467
(2526,3025)(10600,11099)(10600,11100)	Mt	10850	501	0.092624
(2626,3125)(10700,11199)(10700,11200)	Mt	10950	501	0.088774
(2726,3225)(10800,11299)(10800,11300)	Mt	11050	501	0.087727
(2826,3325)(10900,11399)(10900,11400)	Mt	11150	501	0.083549
(2926,3425)(11000,11499)(11000,11500)	Mt	11250	501	0.083415
(3026,3525)(11100,11599)(11100,11600)	Mt	11350	501	0.090141
(3126,3625)(11200,11699)(11200,11700)	Mt	11450	501	0.085953
(3226,3725)(11300,11799)(11300,11800)	Mt	11550	501	0.086631
(3326,3825)(11400,11899)(11400,11900)	Mt	11650	501	0.081879
(3426,3925)(11500,11999)(11500,12000)	Mt	11750	501	0.082318
(3526,4025)(11600,12099)(11600,12100)	Mt	11850	501	0.076207
(3626,4125)(11700,12199)(11700,12200)	Mt	11950	501	0.079552
(3726,4225)(11800,12299)(11800,12300)	Mt	12050	501	0.079136
(3826,4325)(11900,12399)(11900,12400)	Mt	12150	501	0.089903
(3926,4425)(12000,12499)(12000,12500)	Mt	12250	501	0.084883
(4026,4525)(12100,12599)(12100,12600)	Mt	12350	501	0.083968
(4126,4625)(12200,12699)(12200,12700)	Mt	12450	501	0.082424
(4226,4718)(12300,12799)(12300,12800)	Mt	12550	494	0.082093
(4326,4818)(12400,12899)(12400,12900)	Mt	12650	494	0.078338
(4426,4918)(12500,12999)(12500,13000)	Mt	12750	494	0.082731
(4526,5018)(12600,13099)(12600,13100)	Mt	12850	494	0.093894
(4626,5118)(12700,13199)(12700,13200)	Mt	12950	494	0.090782
(4719,5174)(12800,13255)(12800,13300)	Mt	13050	457	0.087784
(4819,5174)(12900,13255)(12900,13400)	Mt	13150	357	0.093304
(4919,5174)(13000,13255)(13000,13500)	Mt	13250	257	0.090179
(5019,5174)(13100,13255)(13100,13600)	Mt	13350	157	0.073131
(5119,5174)(13200,13255)(13200,13700)	Mt	13450	57	0.066891
(5175,5204)(14070,14099)(13600,14100)	Mt	13850	31	0.051760
(5175,5304)(14070,14199)(13700,14200)	Mt	13950	131	0.067279
(5175,5404)(14070,14299)(13800,14300)	Mt	14050	231	0.071441
(5175,5504)(14070,14399)(13900,14400)	Mt	14150	331	0.072017
(5175,5604)(14070,14499)(14000,14500)	Mt	14250	431	0.078561
(5205,5704)(14100,14599)(14100,14600)	Mt	14350	501	0.082042
(5305,5804)(14200,14699)(14200,14700)	Mt	14450	501	0.083279
(5405,5904)(14300,14799)(14300,14800)	Mt	14550	501	0.087767
(5505,6004)(14400,14899)(14400,14900)	Mt	14650	501	0.089815
(5605,6104)(14500,14999)(14500,15000)	Mt	14750	501	0.084679
(5705,6204)(14600,15099)(14600,15100)	Mt	14850	501	0.083260
(5805,6304)(14700,15199)(14700,15200)	Mt	14950	501	0.087549
(5905,6404)(14800,15299)(14800,15300)	Mt	15050	501	0.089502
(6005,6504)(14900,15399)(14900,15400)	Mt	15150	501	0.091767
(6105,6604)(15000,15499)(15000,15500)	Mt	15250	501	0.103443
(6205,6704)(15100,15599)(15100,15600)	Mt	15350	501	0.099099
(6305,6804)(15200,15699)(15200,15700)	Mt	15450	501	0.095621
(6405,6904)(15300,15799)(15300,15800)	Mt	15550	501	0.089351
(6505,7004)(15400,15899)(15400,15900)	Mt	15650	501	0.087296
(6605,7104)(15500,15999)(15500,16000)	Mt	15750	501	0.083242
(6705,7204)(15600,16099)(15600,16100)	Mt	15850	501	0.094032
(6805,7304)(15700,16199)(15700,16200)	Mt	15950	501	0.097891
