region	chr	midPos	Nsites
(91,590)(100,599)(100,600)	Mt	350	501	0.072776
(191,690)(200,699)(200,700)	Mt	450	501	0.077611
(291,790)(300,799)(300,800)	Mt	550	501	0.081047
(391,890)(400,899)(400,900)	Mt	650	501	0.087366
(491,990)(500,999)(500,1000)	Mt	750	501	0.083328
(591,1090)(600,1099)(600,1100)	Mt	850	501	0.077335
(691,1190)(700,1199)(700,1200)	Mt	950	501	0.076411
(791,1290)(800,1299)(800,1300)	Mt	1050	501	0.083017
(891,1390)(900,1399)(900,1400)	Mt	1150	501	0.082496
(991,1490)(1000,1499)(1000,1500)	Mt	1250	501	0.084146
(1091,1590)(1100,1599)(1100,1600)	Mt	1350	501	0.086109
(1191,1690)(1200,1699)(1200,1700)	Mt	1450	501	0.080782
(1291,1790)(1300,1799)(1300,1800)	Mt	1550	501	0.074473
(1391,1890)(1400,1899)(1400,1900)	Mt	1650	501	0.071637
(1491,1990)(1500,1999)(1500,2000)	Mt	1750	501	0.072596
(1591,2090)(1600,2099)(1600,2100)	Mt	1850	501	0.075716
(1691,2190)(1700,2199)(1700,2200)	Mt	1950	501	0.075927
(1791,2290)(1800,2299)(1800,2300)	Mt	2050	501	0.076656
(1891,2390)(1900,2399)(1900,2400)	Mt	2150	501	0.078187
(1991,2490)(2000,2499)(2000,2500)	Mt	2250	501	0.078693
(2091,2590)(2100,2599)(2100,2600)	Mt	2350	501	0.079077
(2191,2690)(2200,2699)(2200,2700)	Mt	2450	501	0.081119
(2291,2790)(2300,2799)(2300,2800)	Mt	2550	501	0.079528
(2391,2890)(2400,2899)(2400,2900)	Mt	2650	501	0.073267
(2491,2990)(2500,2999)(2500,3000)	Mt	2750	501	0.076534
(2591,3090)(2600,3099)(2600,3100)	Mt	2850	501	0.067497
(2691,3190)(2700,3199)(2700,3200)	Mt	2950	501	0.064342
(2791,3290)(2800,3299)(2800,3300)	Mt	3050	501	0.069764
(2891,3390)(2900,3399)(2900,3400)	Mt	3150	501	0.072364
(2991,3490)(3000,3499)(3000,3500)	Mt	3250	501	0.070539
